"","InitialInterestRate","ppp_treated","agriculture","mining","utilities","construction","manufacturing","wholesale_trade","retail_trade","transport_ware","information","finance_ins","real_estate","professional","admin_support","education","healthcare","arts_entertain","accommodation","other_services","public_admin","age_established","age_new","age_startup","age_changed_owner","processing_plp","processing_express","processing_7a_general","collateral","commit","pif","charge_off","cancelled","has_franchise","west","northeast","midwest","pct_black","pct_native","pct_asian","pct_pacific","pct_other","pct_multiracial","approval_month_index","regional_bank","community_bank","fintech","cdfi","other_institution","LMIIndicator","Race","ApprovalYearMonth","JobsSupported","GrossApproval","race_black","race_asian","race_native","race_white","race_unanswered","race_multi","race_pacific","race_puerto_rican","hispanic","not_hispanic","ethnicity_unanswered","log_approval_amount","zip_code"
"9",6.75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17.2495177112835,0.919426999958954,11.628288798588,0.024627508927472,2.99839921191971,2.53868571194024,0,1,0,0,0,0,"Y","White","2020-04",5,137000,0,0,0,1,0,0,0,0,0,1,0,11.8277362048103,"27606"
"13",10.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,5.70721445365673,0.603885657715629,5.05382997153818,0.470238831827744,18.4011879717857,9.32805345873036,55,0,1,0,0,0,"Y","Unanswered","2024-11",2,250000,0,0,0,0,1,0,0,0,0,0,1,12.4292161968444,"91401"
"21",10.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6.61382214515729,0.462389563207002,6.0275782346627,0,3.94682520023119,7.81933779208984,57,0,0,0,0,0,"N","Unanswered","2025-01",0,30000,0,0,0,0,1,0,0,0,1,0,0,10.3089526606443,"33332"
"27",12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.3687707641196,0,0.757475083056478,0,8.27906976744186,1.24916943521595,54,0,0,1,0,0,"N","Unanswered","2024-10",8,350000,0,0,0,0,1,0,0,0,0,1,0,12.7656884334656,"76043"
"38",8.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28.4450617735215,0.231498403879426,2.53429831615371,0.0121841265199698,6.02383215147306,8.42166825060311,26,0,0,0,0,0,"Y","White","2022-06",20,100000,0,0,0,1,0,0,0,0,0,1,0,11.5129254649702,"12601"
"52",11.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,86.3426961855372,1.02929949719641,2.4218811698739,0.234290678389976,4.50943743912391,2.97470187169295,37,0,1,0,0,0,"N","Black or African American","2023-05",4,150000,1,0,0,0,0,0,0,0,0,1,0,11.9183905730784,"11412"
"65",7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,34.3181017267708,0.440502760483966,4.45201456595795,0.105720662516152,3.87055092211911,6.20815223775402,14,0,0,0,0,0,"Y","Black or African American","2021-06",5,138000,1,0,0,0,0,0,0,0,0,1,0,11.8350089641393,"77002"
"82",7.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,42.7526142725953,0.918328050478419,1.02201024972598,0.468051070889001,10.6407559913499,7.12148591403264,35,0,1,0,0,0,"N","Unanswered","2023-03",15,600000,0,0,0,0,1,0,0,0,0,1,0,13.3046849341983,"14621"
"85",10.85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,39.2859349894945,0.60715609936967,8.51563465579038,0.00926955876900259,15.8478556420714,5.65288592263008,45,0,0,0,0,0,"N","Unanswered","2024-01",50,250000,0,0,0,0,1,0,0,0,0,0,1,12.4292161968444,"10027"
"90",5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,28.5568044123177,0.501399740943467,6.15886015125559,0.0104458279363222,6.87335478210003,5.25425145197008,3,0,0,0,0,0,"N","Unanswered","2020-07",11,150000,0,0,0,0,1,0,0,0,0,0,1,11.9183905730784,"11205"
